"Amount","Ingredient","NDB_No","Year","Recipe","Gm_Wgt","Measure"
1,"apples, raw, with skin (includes foods for usda's food distribution program)",9003,1936,"AppleDumplings",182,"medium (3"" dia)"
7.5,"sugar, turbinado",19908,1936,"AppleDumplings",34.5,"tsp"
0.666666666666667,"butter, salted",1001,1936,"AppleDumplings",9.46666666666667,"tbsp"
6,"apples, raw, with skin (includes foods for usda's food distribution program)",9003,2006,"AppleDumplings",1092,"medium (3"" dia)"
0.5,"sugar, turbinado",19908,2006,"AppleDumplings",101,"cup"
0.25,"butter, salted",1001,2006,"AppleDumplings",56.75,"cup"
1,"egg, whole, raw, fresh",1123,2006,"AppleDumplings",50,"large"
1.75,"wheat flour, white, cake, enriched",20084,1936,"ApplePie",239.75,"cup unsifted, dipped"
4,"lard",4002,1936,"ApplePie",51.2,"tbsp"
2,"butter, salted",1001,1936,"ApplePie",28.4,"tbsp"
6,"apples, raw, with skin (includes foods for usda's food distribution program)",9003,1936,"ApplePie",1092,"medium (3"" dia)"
0.67,"sugars, granulated",19335,1936,"ApplePie",134,"cup"
1.5,"cornstarch",20027,1936,"ApplePie",192,"cup"
1.5,"butter, salted",1001,1936,"ApplePie",21.3,"tbsp"
0.5,"lemon juice, raw",9152,1936,"ApplePie",15.25,"fl oz"
1.5,"milk, whole, 3.25%",1211,1936,"AsparagusTimbales",366,"cup"
0.5,"butter, salted",1001,1936,"AsparagusTimbales",113.5,"cup"
0.33,"bread crumbs, plain, dry, grated",18079,2006,"AsparagusTimbales",35.64,"cup"
2,"egg, whole, raw, fresh",1123,1936,"BaconCornMealWaffles",100,"large"
1.75,"milk, whole, 3.25% milkfat, without added vitamin a and vitamin d",1211,1936,"BaconCornMealWaffles",427,"cup"
1,"wheat flour, white, cake, enriched",20084,1936,"BaconCornMealWaffles",137,"cup unsifted, dipped"
3,"sugars, granulated",19335,1936,"BaconCornMealWaffles",12.6,"tsp"
1,"cornmeal, degermed, enriched, yellow",20022,1936,"BaconCornMealWaffles",157,"cup"
5,"animal fat, bacon grease",4609,1936,"BaconCornMealWaffles",21.5,"tsp"
12,"pork, cured, bacon, unprepared",10123,1936,"BaconCornMealWaffles",336,"slice raw"
1,"wheat flour, white, all-purpose, self-rising, enriched",20082,2006,"BaconCornMealWaffles",125,"cup"
1,"cornmeal, degermed, enriched, yellow",20022,2006,"BaconCornMealWaffles",157,"cup"
2,"milk, buttermilk, dried",1094,2006,"BaconCornMealWaffles",240,"cup"
5,"butter, salted",1001,2006,"BaconCornMealWaffles",71,"tbsp"
0.25,"syrups, maple",19353,2006,"BaconCornMealWaffles",78.75,"cup"
2,"egg, whole, raw, fresh",1123,2006,"BaconCornMealWaffles",100,"large"
3,"pork, cured, bacon, pre-sliced, cooked, pan-fried",10862,2006,"BaconCornMealWaffles",34.5,"slice"
0.5,"tapioca, pearl, dry",20068,1936,"BakedPearlTapiocaPudding",76,"cup"
4,"milk, whole, 3.25% milkfat, with added vitamin d",1077,1936,"BakedPearlTapiocaPudding",976,"cup"
1.5,"butter, salted",1001,1936,"BakedPearlTapiocaPudding",21.3,"tbsp"
2,"egg, whole, raw, fresh",1123,1936,"BakedPearlTapiocaPudding",100,"large"
0.33,"sugars, granulated",19335,1936,"BakedPearlTapiocaPudding",66,"cup"
0.75,"lemon juice, raw",9152,1936,"BakedPearlTapiocaPudding",22.875,"fl oz"
12,"sugars, granulated",19335,1936,"BakedPearlTapiocaPudding",50.4,"tsp"
1,"vanilla extract",2050,1936,"BakedPearlTapiocaPudding",4.2,"tsp"
0.5,"tapioca, pearl, dry",20068,2006,"BakedPearlTapiocaPudding",76,"cup"
4,"milk, whole, 3.25% milkfat, with added vitamin d",1077,2006,"BakedPearlTapiocaPudding",976,"cup"
5,"egg, whole, raw, fresh",1123,2006,"BakedPearlTapiocaPudding",250,"large"
0.75,"sugars, granulated",19335,2006,"BakedPearlTapiocaPudding",150,"cup"
