RecipeName,Class,TooMuch,ServingsperRecipe1936,ServingsperRecipe2006,CaloriesperServing1936,CaloriesperServing2006 ,CaloricDensity1936,CaloricDensity2006
Blueberry Muffins,Per-Piece,T,NA,NA,55.5,130,2.41,2.15
Brownies Cockaigne,Per-Piece,T,NA,NA,94.6,128.1,4.2,4.01
Corn Bread Muffins,Per-Piece,T,NA,NA,80.7,90.3,2.55,2.28
Rolled Biscuits,Per-Piece,T,NA,NA,53.8,53.9,2.69,2.82
Sugar Drop Cookies,Per-Piece,T,NA,NA,80.8,62,4.19,4.45
Waffles,Per-Piece,T,NA,NA,271.6,278,1.92,2.07
Apple Pie,Per-Recipe,T,NA,NA,NA,NA,1.77,2.31
Chicken Gumbo,Per-Recipe,T,NA,NA,NA,NA,0.63,1.41
Chocolate Cake,Per-Recipe,T,NA,NA,NA,NA,3.18,3.18
Corn Chowder,Per-Recipe,T,NA,NA,NA,NA,0.71,0.89
Baked Macaroni and Cheese,Per-Serving,T,6,10,204.7,293.7,1.83,1.99
Baked Pearl Tapioca Pudding,Per-Serving,T,12,8,136.3,226.9,1.24,1.23
Baked Rice Pudding,Per-Serving,T,8,8,129.7,157.6,1.28,1.48
Chicken a la King,Per-Serving,T,6,8,143.4,226.8,1.21,1.11
Chili with Meat and Beans,Per-Serving,T,8,8,286.74,486.5,1.39,0.98
Firm Omelet,Per-Serving,T,4,4,109.7,119,1.56,1.69
Hungarian Goulash,Per-Serving,T,6,6,439.5,304.1,1.76,1.24
Irish Stew,Per-Serving,T,6,6,554.5,568.8,0.85,0.89
Spanish Rice,Per-Serving,T,4,6,195.7,212.3,1.2,1.19
Stovetop Mac and Cheese,Per-Serving,T,4,10,266,327.8,3.67,2.98
Stovetop Rice Pudding,Per-Serving,T,8,8,220.4,187.2,1.04,1.23
Apple Dumplings,Per-Serving,F,NA,6,293.6,217.3,1.3,1.19
Apple Tartlets,Per-Serving,F,8,8,416,574,2.56,3.03
Asparagus Timbales,Per-Serving,F,5,4,302.8,153.3,1.76,1.4
Bacon Cornmeal Waffles,Per-Serving,F,6,6,584.8,363.9,2.8,2.1
Baked Apples,Per-Serving,F,6,6,151.9,214.9,0.8,0.9
Baked Apples Stuffed with Sausage,Per-Serving,F,6,6,159.6,159.6,0.7,0.7
Baked Beets,Per-Serving,F,6,4,156.4,99.7,0.78,0.83
Baked Eggs,Per-Serving,F,4,1,227.1,88.7,2.5,1.6
Bavarian Berry Cream,Per-Serving,F,8,8,322,177.3,1.99,1.4
Blancmange,Per-Serving,F,6,6,140.2,202.8,0.97,1.7
Boiled Custard,Per-Serving,F,5,4,132.6,181,1.12,1.19
Boiled Potatoes,Per-Serving,F,4,6,223.7,105.8,0.7,0.7
Braised Red Cabbage,Per-Serving,F,4,4,229.6,173,0.57,0.53
Bread Pudding,Per-Serving,F,6,8,304.6,317,1.47,1.65
Breaded Fried Shrimp,Per-Serving,F,4,4,80.5,120.8,0.71,0.71
Broccoli Timbales,Per-Serving,F,6,6,98.5,144.7,0.74,1.09
Browned Potatoes,Per-Serving,F,4,4,265.9,330.4,1.03,1.58
Brussels Sprouts with Chestnuts,Per-Serving,F,6,6,119.1,237.7,1.12,1.14
Caramel Custard,Per-Serving,F,4,5,214.5,221.3,1.31,1.35
Chantilly Potatoes,Per-Serving,F,6,8,310,170.3,1.43,1.28
Charlotte Russe,Per-Serving,F,12,10,284,371.7,2.21,3.29
Cheese Fondue,Per-Serving,F,10,5,522.3,443.6,3.84,2.83
Cheese Souffle Cockaigne,Per-Serving,F,3,6,327.1,166.7,1.9,2.05
Chicken Jambalaya,Per-Serving,F,10,8,526.8,518.15,1.81,1.41
Chicken Pot Pie,Per-Serving,F,6,8,938.2,559.4,1.98,1.49
Chicken Salad,Per-Serving,F,8,4,229.7,271.7,3.35,2.48
Chocolate Bavarian Cream,Per-Serving,F,8,8,217.1,240.4,1.77,2.33
Chocolate Charlotte,Per-Serving,F,6,8,562.8,379.11,2.89,3.06
Chocolate Souffle,Per-Serving,F,4,4,256.1,491.6,1.93,3.79
Chow Mein,Per-Serving,F,10,4,168.2,302.7,1.17,1.15
Citrus Juice Medley,Per-Serving,F,6,3,67.8,113.9,0.93,0.81
Coffee Bavarian Cream,Per-Serving,F,8,8,333.6,164.3,2.16,1.84
Corn Bread Tamale Pie,Per-Serving,F,6,6,203.6,362.9,0.66,1.28
Cottage Pudding,Per-Serving,F,6,10,282.9,247.6,3.15,3.42
Crab or Tuna Souffle,Per-Serving,F,4,4,234.8,239.9,1.37,1.49
Cranberry Juice,Per-Serving,F,6,6,58.6,74.5,0.4,0.38
Creamed Chicken,Per-Serving,F,6,6,174,444.5,1.41,1.3
Creamed Eggs with Asparagus Tips Cockaigne,Per-Serving,F,6,4,505.8,346.3,2.24,1.83
Creamed Oysters,Per-Serving,F,4,4,238.5,238.5,1.06,1.06
Creamed Spinach,Per-Serving,F,4,4,370.7,267.7,1.18,1.45
Cucumber Mousse,Per-Serving,F,6,4,143.3,110.5,1.96,1.42
Curried Eggs,Per-Serving,F,3,4,209.7,358,1.32,2.13
Eggs in a Nest,Per-Serving,F,4,4,310,310,1.5,1.5
Farina Pudding,Per-Serving,F,6,6,179.1,146.4,1.44,1.38
Flank Steak with Dressing,Per-Serving,F,4,6,429.4,286.3,2.27,2.27
Floating Islands,Per-Serving,F,5,4,173.4,327.5,1.19,1.49
Fresh Fruit Souffle,Per-Serving,F,6,4,130.2,145.7,1.46,0.92
Fruit and Berry Cobbler,Per-Serving,F,6,8,361.5,273.5,2.35,1.57
Fruit Gelatin,Per-Serving,F,12,4,102.4,82.7,1.01,0.47
Fruit Whip,Per-Serving,F,8,8,116.3,116.8,1.34,1.35
Gelatin Fruit Salad,Per-Serving,F,12,6,105.2,60.8,0.98,0.61
German Potato Salad,Per-Serving,F,6,6,234.5,193.3,0.87,0.89
Gnocchi,Per-Serving,F,4,18,156.3,84.5,1.87,1.36
Golden Glow Salad,Per-Serving,F,10,10,61.5,50.5,0.74,0.59
Green Bean Casserole,Per-Serving,F,6,6,128.6,151,0.65,0.9
Ham and Cheese Souffle,Per-Serving,F,3,6,388.3,197.4,1.85,1.97
Ham Cakes with Pineapple and Sweet Potatoes,Per-Serving,F,6,6,405.1,505.5,1.76,1.5
Ham Loaf,Per-Serving,F,8,4,338.2,212.9,1.55,1.83
Hamburgers,Per-Serving,F,5,4,230.4,360,2.54,2.54
Herring Salad,Per-Serving,F,20,24,573.4,195.9,1.57,1.82
Hot Slaw,Per-Serving,F,6,6,71.5,176.7,0.83,2.14
Indian Pudding,Per-Serving,F,6,8,269,227.6,1.28,1.34
Leftover Potatoes O'Brien,Per-Serving,F,6,6,236,236,0.92,0.92
Lemon Gelatin,Per-Serving,F,4,4,161.8,155.2,0.79,1.04
Lemon Souffle,Per-Serving,F,4,8,238.2,210.9,2.13,2.16
Lima Beans and Mushrooms,Per-Serving,F,6,6,247.1,244.3,1.57,1.57
Lobster Mousse,Per-Serving,F,8,10,205.9,160.4,2.44,2.67
Lobster Newburg,Per-Serving,F,6,4,284.3,426.4,2.69,2.69
Lobster or Shrimp Salad,Per-Serving,F,4,2,248.6,154.9,2.74,1.11
Mashed Potatoes,Per-Serving,F,6,6,202.8,257.4,1.08,1.36
Meat Loaf I,Per-Serving,F,6,8,295.2,297.9,3.18,1.75
Meat Loaf II,Per-Serving,F,10,4,371.9,508.2,1.27,2.22
Molded Custard,Per-Serving,F,6,8,116.5,135.1,1.15,1.09
