"Amount"	"Measure"	"Ingredient"
2	"Tbs"	"oil, canola"
0.5	"cup"	"celery, fresh, diced"
0.5	"cup"	"green onion, fresh, tops & bulb,chopped"
2	"cup"	"pork ham roast, whole, roased, lean,diced"
1	"ea"	"bell pepper, green, fresh, medium, 2 1/2"
1	"cup"	"mushrooms, portabella, fresh, chopped"
1	"cup"	"sprouts, mung bean, fresh"
2	"Tbs"	"demi glace sauce concentrate, Master's Touch, 1263, food service"
1	"cup"	"consomme, beef, canned, condensed"
1	"Tbs"	"soy sauce, from soy & wheat"
3	"Tbs"	"sherry, cooking"
