"Recipe" "Year" "Amount" "Measure" "Ingredient"
"HerringSalad" "2006" 36 "oz" "herring, atlantic, raw, fillet"
"HerringSalad" "2006" 3 "cup" "apple, refesh, sliced"
"HerringSalad" "2006" 1.5 "cup" "beets, pickled, caanned, sliced, in liquid"
"HerringSalad" "2006" 1 "cup" "almonds, dry roastd, whole, unsalted"
"HerringSalad" "2006" 0.5 "cup" "onion, yellow, fresh, chopped"
"HerringSalad" "2006" 0.5 "cup" "pickles, dill, chopped"
"HerringSalad" "2006" 0.5 "cup" "potato, cooked, peeled, diced"
"HerringSalad" "2006" 2 "lrg" "egg,raw"
"HerringSalad" "2006" 2 "ea" "celery stalk, fresh, medium, 7.5\" to 8\" "
"HerringSalad" "2006" 1 "cup" "wine, red"
"HerringSalad" "2006" 1 "cup" "sugar,  white, granulated, granulated"
"HerringSalad" "2006" 2 "Tbs" "horseradish, prepared"
