"Amount"	"Measure"	"Ingredient"	"NBD_No"
"1"	1	"Tbs"	"Gelatins, dry powder, unsweetened"	19177
"2"	0.25	"cup"	"Beverages, water, tap, drinking"	14411
"3"	0.75	"cup"	"Celery, raw"	11143
"4"	1.5	"cup"	"Crustaceans, lobster, northern, raw, canned or cooked"	15147
"5"	0.666666666666667	"cup"	"Babyfood, apples, dices, toddler"	3115
"6"	0.75	"cup"	"Mayonnaise, reduced fat, with olive oil"	4708
"7"	3	"tsp"	"Lemon juice, raw"	9152
"8"	1	"ea"	"Salt, table"	2047
"9"	1	"ea"	"Spices, paprika"	2028
"10"	0.333333333333333	"cup"	"Cream, fluid, heavy whipping"	1053
"11"	1	"ea"	"Watercress, raw"	11591
"12"	1	"ea"	"Pickles, cucumber, dill or kosher dill"	11937
