"Recipe" "Year" "Amount" "Measure" "Ingredient"
"sukiyaki" "2006" 2 "lb" "beef roast, tenderloin, raw, 0\" trim"
"sukiyaki" "2006" 0.5 "cup" "onion, yellow, fresh, sliced"
"sukiyaki" "2006" 6 "ea" "green onion, fresh, tops & bulb, medium,4 1/8\" "
"sukiyaki" "2006" 2 "cup" "mushrooms, fresh, sliced"
"sukiyaki" "2006" 2 "cup" "cabbage, napa, fresh"
"sukiyaki" "2006" 2 "cup" "bamboo shoots, canned, sliced, drained"
"sukiyaki" "2006" 0.5 "cup" "tofu, regular, with calcium sulfate, 1/4 block"
"sukiyaki" "2006" 0.025 "cup" "soy sauce, from soy & wheat"
"sukiyaki" "2006" 0.5 "cup" "stock, chicken, prepared from recipe"
"sukiyaki" "2006" 1 "tsp" "sugar, white, granulated, granulated"
"sukiyaki" "2006" 3 "Tbs" "oil, canola"
"sukiyaki" "2006" 4 "cup" "rice, white, cooked, long grain, unriched"
